time_s,gt_x,gt_y,gt_yaw,wheel_x,wheel_y,wheel_yaw,ekf_x,ekf_y,ekf_yaw,err_x,err_y,err_yaw,cmd_vx,cmd_wz,front_left_steer,front_right_steer,rear_left_wheel_vel,rear_right_wheel_vel
49.49,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,8.434396520087333e-12,-1.8795603325709138e-22,-4.4565596758001234e-11,8.458088083151222e-12,-1.9471336616253544e-23,-4.264588682190151e-12,2.929981613587864e-07,5.643336803445727e-07,-3.814143145168558e-12,,,,,,
49.59,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,8.451430153237786e-12,-1.8871591375789423e-22,-4.465559218233713e-11,8.47515594139755e-12,-1.9544163794450347e-23,-4.2725822879674524e-12,2.9299817842664467e-07,5.643336803445727e-07,-3.8221367509458595e-12,,,,,,
49.69,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,8.468463793423857e-12,-1.8947732752165235e-22,-4.474558755257908e-11,8.492223901001204e-12,-1.9617124617258422e-23,-4.2801318045349035e-12,2.9299819549460425e-07,5.643336803445727e-07,-3.8296862675133105e-12,,,,,,
49.79,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,8.485497440754607e-12,-1.9024027455488031e-22,-4.483558298826194e-11,8.509291995077627e-12,-1.9690219759221706e-23,-4.288125410312205e-12,2.9299821256269835e-07,5.643336803445727e-07,-3.837679873290612e-12,,,,,,
49.89,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,8.502531078614827e-12,-1.9100475411362543e-22,-4.492557845670169e-11,8.526393472786563e-12,-1.9763593437208317e-23,-4.296119016089506e-12,2.929982296641761e-07,5.643336803445727e-07,-3.845673479067913e-12,,,,,,
49.99,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,8.5195647226299e-12,-1.917707668999065e-22,-4.5015573964606054e-11,8.543461616395384e-12,-1.983695883638295e-23,-4.303668532656957e-12,2.929982467323197e-07,5.643336803445727e-07,-3.853222995635364e-12,,,,,,
50.09,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,8.53659835507314e-12,-1.9253831211653244e-22,-4.5105569464764056e-11,8.560597315381895e-12,-1.991074817041545e-23,-4.311662138434258e-12,2.9299826386801865e-07,5.643336803445727e-07,-3.861216601412665e-12,,,,,,
50.19,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,8.553631987543347e-12,-1.9330739028394257e-22,-4.519556491323411e-11,8.577666302221656e-12,-1.9984384522062547e-23,-4.319655744211559e-12,2.9299828093700547e-07,5.643336803445727e-07,-3.869210207189966e-12,,,,,,
50.29,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,8.570665616206004e-12,-1.940780012289338e-22,-4.528556039743031e-11,8.594734798144622e-12,-2.0058153162545347e-23,-4.32764934998886e-12,2.9299829800550144e-07,5.643336803445727e-07,-3.877203812967267e-12,,,,,,
50.39,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,8.587699256811103e-12,-1.9485014566428176e-22,-4.537555580639965e-11,8.61194157599761e-12,-2.0132654466819218e-23,-4.335198866556311e-12,2.929983152122793e-07,5.643336803445727e-07,-3.884753329534718e-12,,,,,,
50.49,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,8.604732900260122e-12,-1.95623823178428e-22,-4.546555123169376e-11,8.629010769901175e-12,-2.020669434857045e-23,-4.343192472333612e-12,2.9299833228147315e-07,5.643336803445727e-07,-3.8927469353120194e-12,,,,,,
50.59,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,8.621766536379783e-12,-1.9639903330864053e-22,-4.555554665971254e-11,8.646184538275852e-12,-2.0281322551195597e-23,-4.3511860781109135e-12,2.9299834945524155e-07,5.643336803445727e-07,-3.9007405410893206e-12,,,,,,
50.69,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,8.638800185955508e-12,-1.9717577700163235e-22,-4.564554205327813e-11,8.663220191507487e-12,-2.035548460791391e-23,-4.3587355946783646e-12,2.9299836649089476e-07,5.643336803445727e-07,-3.908290057656772e-12,,,,,,
50.79,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,8.65583384189465e-12,-1.9795405393552812e-22,-4.57355374569004e-11,8.68028891800982e-12,-2.0429924900447355e-23,-4.366729200455666e-12,2.929983835596213e-07,5.643336803445727e-07,-3.916283663434073e-12,,,,,,
50.89,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,8.67286748920629e-12,-1.9873386342581633e-22,-4.582553291934111e-11,8.69735653285559e-12,-2.0504495127331937e-23,-4.374722806232967e-12,2.929984006272361e-07,5.643336803445727e-07,-3.924277269211374e-12,,,,,,
50.99,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,8.689901154129104e-12,-1.9951520667443937e-22,-4.591552835117391e-11,8.714390048773693e-12,-2.057905017808557e-23,-4.382716412010268e-12,2.9299841766075205e-07,5.643336803445727e-07,-3.932270874988675e-12,,,,,,
51.09,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,8.706934807868169e-12,-2.0029808236060505e-22,-4.600552377384212e-11,8.731457153020128e-12,-2.06538861241668e-23,-4.390265928577719e-12,2.929984347278563e-07,5.643336803445727e-07,-3.939820391556126e-12,,,,,,
51.19,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,8.723968428870742e-12,-2.010824894905799e-22,-4.6095519234858424e-11,8.74855852688775e-12,-2.072900764607832e-23,-4.39825953435502e-12,2.9299845182923015e-07,5.643336803445727e-07,-3.947813997333427e-12,,,,,,
51.29,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,8.741002057812435e-12,-2.0186842993565617e-22,-4.618551467614739e-11,8.765807515306209e-12,-2.0804913860601955e-23,-4.406253140132321e-12,2.9299846907821856e-07,5.643336803445727e-07,-3.955807603110728e-12,,,,,,
51.39,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,8.758035705795246e-12,-2.0265590420995344e-22,-4.627551007871703e-11,8.782763597920082e-12,-2.087966323963254e-23,-4.413802656699772e-12,2.929984860343012e-07,5.643336803445727e-07,-3.963357119678179e-12,,,,,,
51.49,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,8.775069377036576e-12,-2.0344491251164157e-22,-4.636550552653698e-11,8.79986560264116e-12,-2.0955190897902308e-23,-4.4217962624770735e-12,2.9299850313630593e-07,5.643336803445727e-07,-3.9713507254554805e-12,,,,,,
51.59,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,8.792103045476666e-12,-2.0423545363592205e-22,-4.645550094320725e-11,8.816899751180095e-12,-2.1030551848905673e-23,-4.429789868254375e-12,2.9299852017045444e-07,5.643336803445727e-07,-3.979344331232782e-12,,,,,,
51.69,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,8.809136725524205e-12,-2.0502752825160664e-22,-4.654549630641056e-11,8.833967199194083e-12,-2.110619520107512e-23,-4.437339384821826e-12,2.9299853723790247e-07,5.643336803445727e-07,-3.986893847800233e-12,,,,,,
