time_s,gt_x,gt_y,gt_yaw,wheel_x,wheel_y,wheel_yaw,ekf_x,ekf_y,ekf_yaw,err_x,err_y,err_yaw,cmd_vx,cmd_wz,front_left_steer,front_right_steer,rear_left_wheel_vel,rear_right_wheel_vel
18.19,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.4138552532528745e-13,-4.362092346995034e-25,-6.161962730469295e-12,1.4115013160511396e-13,-1.5013132964205897e-25,-1.8034462812011043e-12,2.9298984442083487e-07,5.643336803445727e-07,-1.3530007441795117e-12,,,,,,
18.29,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.4216714525273962e-13,-4.410409958700862e-25,-6.1960259019270144e-12,1.4193175188162537e-13,-1.5154489526235083e-25,-1.8114398869784054e-12,2.9298984520245517e-07,5.643336803445727e-07,-1.3609943499568129e-12,,,,,,
18.39,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.4294876021915306e-13,-4.458993503513831e-25,-6.230089055805382e-12,1.4271336728439984e-13,-1.5296456217860936e-25,-1.8189894035458565e-12,2.9298984598407054e-07,5.643336803445727e-07,-1.368543866524264e-12,,,,,,
18.49,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.4373038281850989e-13,-4.507843770937116e-25,-6.2641522507737635e-12,1.4349499041615482e-13,-1.543903913857627e-25,-1.8269830093231576e-12,2.929898467656937e-07,5.643336803445727e-07,-1.376537472301565e-12,,,,,,
18.59,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.4451195787328972e-13,-4.556957296663141e-25,-6.2982154532783026e-12,1.4427656385127294e-13,-1.5582227955800997e-25,-1.8349766151004587e-12,2.9298984754726715e-07,5.643336803445727e-07,-1.3845310780788662e-12,,,,,,
18.69,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.452935751200867e-13,-4.6063397202682245e-25,-6.332278623060922e-12,1.450581799874826e-13,-1.5726038190428133e-25,-1.8425261316679098e-12,2.9298984832888326e-07,5.643336803445727e-07,-1.3920805946463172e-12,,,,,,
18.79,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.4607517165002498e-13,-4.6559870738307555e-25,-6.3663418281720215e-12,1.4583977702055398e-13,-1.5870458926993864e-25,-1.850519737445211e-12,2.9298984911048027e-07,5.643336803445727e-07,-1.4000742004236184e-12,,,,,,
18.89,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.4685678523733132e-13,-4.705901748478307e-25,-6.400405018382854e-12,1.4662138875910698e-13,-1.6015500796021078e-25,-1.858513343222512e-12,2.9298984989209204e-07,5.643336803445727e-07,-1.4080678062009195e-12,,,,,,
18.99,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.476383879496102e-13,-4.756081973205172e-25,-6.434468198919822e-12,1.4740298997430415e-13,-1.6161155301775723e-25,-1.866506948999813e-12,2.9298985067369323e-07,5.643336803445727e-07,-1.4160614119782206e-12,,,,,,
19.09,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.4841995977744858e-13,-4.806526445393285e-25,-6.468531379967974e-12,1.4818456316809043e-13,-1.6307414393464696e-25,-1.8740564655672642e-12,2.9298985145526647e-07,5.643336803445727e-07,-1.4236109285456717e-12,,,,,,
19.19,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.4920155808805038e-13,-4.857238872815246e-25,-6.502594563765205e-12,1.4896616005159234e-13,-1.6454293251835395e-25,-1.8820500713445654e-12,2.929898522368633e-07,5.643336803445727e-07,-1.4316045343229728e-12,,,,,,
19.29,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.4998317059210582e-13,-4.908218460709583e-25,-6.536657725545952e-12,1.497477715744766e-13,-1.660179171218871e-25,-1.8900436771218665e-12,2.929898530184748e-07,5.643336803445727e-07,-1.439598140100274e-12,,,,,,
19.39,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.507647745223461e-13,-4.959463722017176e-25,-6.570720875985375e-12,1.5052937575631261e-13,-1.6749903958912242e-25,-1.8975931936893176e-12,2.9298985380007903e-07,5.643336803445727e-07,-1.447147656667725e-12,,,,,,
19.49,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.515463784182579e-13,-5.010975222279728e-25,-6.604784076263692e-12,1.513109793599207e-13,-1.689863025577897e-25,-1.9055867994666187e-12,2.9298985458168265e-07,5.643336803445727e-07,-1.4551412624450261e-12,,,,,,
19.59,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.5232799610622478e-13,-5.062753869056892e-25,-6.638847290599426e-12,1.5209259701873224e-13,-1.7047975153729728e-25,-1.91358040524392e-12,2.929898553633003e-07,5.643336803445727e-07,-1.4631348682223273e-12,,,,,,
19.69,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.5310962289318085e-13,-5.114799368213985e-25,-6.672910498077204e-12,1.528742233053343e-13,-1.7197933733575004e-25,-1.921574011021221e-12,2.929898561449266e-07,5.643336803445727e-07,-1.4711284739996284e-12,,,,,,
19.79,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.5389123572286844e-13,-5.167110180122714e-25,-6.706973685957492e-12,1.5365583805595536e-13,-1.734850344513462e-25,-1.929123527588672e-12,2.929898569265413e-07,5.643336803445727e-07,-1.4786779905670795e-12,,,,,,
19.89,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.5467289520877988e-13,-5.219690369465579e-25,-6.741036877156097e-12,1.544374951972944e-13,-1.7499698177404915e-25,-1.937117133365973e-12,2.9298985770819847e-07,5.643336803445727e-07,-1.4866715963443806e-12,,,,,,
19.99,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.5545448259706388e-13,-5.272531949730984e-25,-6.7751000789179896e-12,1.5521908407874229e-13,-1.7651498322416194e-25,-1.9451107391432743e-12,2.9298985848978737e-07,5.643336803445727e-07,-1.4946652021216817e-12,,,,,,
