time_s,gt_x,gt_y,gt_yaw,wheel_x,wheel_y,wheel_yaw,ekf_x,ekf_y,ekf_yaw,err_x,err_y,err_yaw,cmd_vx,cmd_wz,front_left_steer,front_right_steer,rear_left_wheel_vel,rear_right_wheel_vel
19.89,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.422562722642367e-13,-4.422361409787863e-25,-6.199500837607134e-12,1.4892803406953335e-13,-1.7610526215147553e-25,-1.937117133365973e-12,2.929898521987319e-07,5.643336803445698e-07,-1.4866716147547612e-12,,,,,,
19.99,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.4303007863693937e-13,-4.4704851731183995e-25,-6.23322341878667e-12,1.4970965832366534e-13,-1.7762335870170472e-25,-1.9451107391432743e-12,2.9298985298035617e-07,5.643336803445698e-07,-1.4946652205320623e-12,,,,,,
20.09,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.4381953188715696e-13,-4.5198509458298655e-25,-6.267627256468285e-12,1.504912941472239e-13,-1.791475386225236e-25,-1.9526602557107253e-12,2.92989853761992e-07,5.643336803445698e-07,-1.5022147370995133e-12,,,,,,
20.19,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.4459331952166332e-13,-4.568500702384048e-25,-6.301349829789464e-12,1.5127289956769398e-13,-1.8067781837395246e-25,-1.9606538614880265e-12,2.929898545435974e-07,5.643336803445698e-07,-1.5102083428768145e-12,,,,,,
20.29,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.4538282576435346e-13,-4.618407632729441e-25,-6.335753669120118e-12,1.5205458528565365e-13,-1.8221441233358648e-25,-1.9686474672653276e-12,2.929898553252831e-07,5.643336803445698e-07,-1.5182019486541156e-12,,,,,,
20.39,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.461644948495381e-13,-4.668086718006589e-25,-6.369816880820242e-12,1.528362490192361e-13,-1.83757146987422e-25,-1.9766410730426287e-12,2.9298985610694684e-07,5.643336803445698e-07,-1.5261955544314167e-12,,,,,,
20.49,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.4694615386951336e-13,-4.718031410889964e-25,-6.403880073224195e-12,1.53617908219883e-13,-1.8530596135236682e-25,-1.9841905896100798e-12,2.9298985688860605e-07,5.643336803445698e-07,-1.5337450709988678e-12,,,,,,
20.59,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.4772781183337077e-13,-4.768242283728024e-25,-6.437943274196156e-12,1.5439956634055301e-13,-1.8686094169721344e-25,-1.992184195387381e-12,2.9298985767026415e-07,5.643336803445698e-07,-1.541738676776169e-12,,,,,,
20.69,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.485094421435267e-13,-4.818717615989457e-25,-6.472006475845752e-12,1.5518119824963593e-13,-1.8842202536365018e-25,-2.000177801164682e-12,2.929898584518961e-07,5.643336803445698e-07,-1.54973228255347e-12,,,,,,
20.79,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.4929111446009092e-13,-4.869461919414283e-25,-6.506069656696001e-12,1.5596286829059835e-13,-1.899893066524131e-25,-2.007727317732133e-12,2.929898592335661e-07,5.643336803445698e-07,-1.5572817991209211e-12,,,,,,
